A(32, 51),  B(23, 14), C(69, 54),  P(38, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(39, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(40, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(41, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(42, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(43, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(44, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(45, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(46, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(47, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(48, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(49, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(50, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(51, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(52, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(53, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(54, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(55, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(56, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(57, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(58, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(59, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(60, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(61, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(62, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(63, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(64, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(65, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(66, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(67, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(68, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(69, 1) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(0, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(1, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(2, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(3, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(4, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(5, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(6, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(7, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(8, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(9, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(10, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(11, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(12, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(13, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(14, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(15, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(16, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(17, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(18, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(19, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(20, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(21, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(22, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(23, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(24, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(25, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(26, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(27, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(28, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(29, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(30, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(31, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(32, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(33, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(34, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(35, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(36, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(37, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(38, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(39, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(40, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(41, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(42, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(43, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(44, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(45, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(46, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(47, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(48, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(49, 2) = Ponto fora do triangulo
A(32, 51),  B(23, 14), C(69, 54),  P(50, 2) = Ponto fora do triangulo
